CARRIER_CODE,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,CARRIER_NAME,OriginAirport,OriginLat,OriginLon,DestAirport,DestLat,DestLon
B6,JFK,NY,JAX,FL,2030,2033.0,3.0,2309,2243.0,-26.0,0.0,,130.0,828.0,0.0,0.0,0.0,0.0,0.0,JetBlue,John F Kennedy International Airport,40.63980103,-73.77890015,Jacksonville International Airport,30.49410057,-81.68789673
WN,BWI,MD,JAX,FL,840,838.0,-2.0,1055,1109.0,14.0,0.0,,151.0,663.0,0.0,0.0,0.0,0.0,0.0,Southwest,Baltimore/Washington International Thurgood Marshall Airport,39.17539978,-76.66829681,Jacksonville International Airport,30.49410057,-81.68789673
WN,BWI,MD,JAX,FL,2010,2008.0,-2.0,2215,2158.0,-17.0,0.0,,110.0,663.0,0.0,0.0,0.0,0.0,0.0,Southwest,Baltimore/Washington International Thurgood Marshall Airport,39.17539978,-76.66829681,Jacksonville International Airport,30.49410057,-81.68789673
WN,BNA,TN,JAX,FL,1215,1211.0,-4.0,1440,1427.0,-13.0,0.0,,76.0,483.0,0.0,0.0,0.0,0.0,0.0,Southwest,Nashville International Airport,36.12450027,-86.67819977,Jacksonville International Airport,30.49410057,-81.68789673
WN,BNA,TN,JAX,FL,1720,1725.0,5.0,1945,1946.0,1.0,0.0,,81.0,483.0,0.0,0.0,0.0,0.0,0.0,Southwest,Nashville International Airport,36.12450027,-86.67819977,Jacksonville International Airport,30.49410057,-81.68789673
B6,DCA,VA,JAX,FL,930,1047.0,77.0,1149,1259.0,70.0,0.0,,132.0,634.0,9.0,0.0,0.0,0.0,61.0,JetBlue,Ronald Reagan Washington National Airport,38.8521,-77.037697,Jacksonville International Airport,30.49410057,-81.68789673
B6,DCA,VA,JAX,FL,1317,1356.0,39.0,1522,1545.0,23.0,0.0,,109.0,634.0,13.0,0.0,0.0,0.0,10.0,JetBlue,Ronald Reagan Washington National Airport,38.8521,-77.037697,Jacksonville International Airport,30.49410057,-81.68789673
DL,ATL,GA,JAX,FL,730,835.0,65.0,835,1048.0,133.0,0.0,,133.0,270.0,0.0,0.0,133.0,0.0,0.0,Delta,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Jacksonville International Airport,30.49410057,-81.68789673
DL,ATL,GA,JAX,FL,835,834.0,-1.0,942,1048.0,66.0,0.0,,134.0,270.0,0.0,0.0,66.0,0.0,0.0,Delta,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Jacksonville International Airport,30.49410057,-81.68789673
WN,ATL,GA,JAX,FL,1020,1018.0,-2.0,1130,1121.0,-9.0,0.0,,63.0,270.0,0.0,0.0,0.0,0.0,0.0,Southwest,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Jacksonville International Airport,30.49410057,-81.68789673
DL,ATL,GA,JAX,FL,1055,1048.0,-7.0,1207,1150.0,-17.0,0.0,,62.0,270.0,0.0,0.0,0.0,0.0,0.0,Delta,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Jacksonville International Airport,30.49410057,-81.68789673
DL,ATL,GA,JAX,FL,1300,1257.0,-3.0,1403,1359.0,-4.0,0.0,,62.0,270.0,0.0,0.0,0.0,0.0,0.0,Delta,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Jacksonville International Airport,30.49410057,-81.68789673
DL,ATL,GA,JAX,FL,1504,1459.0,-5.0,1613,1606.0,-7.0,0.0,,67.0,270.0,0.0,0.0,0.0,0.0,0.0,Delta,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Jacksonville International Airport,30.49410057,-81.68789673
WN,ATL,GA,JAX,FL,1615,1703.0,48.0,1720,1803.0,43.0,0.0,,60.0,270.0,43.0,0.0,0.0,0.0,0.0,Southwest,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Jacksonville International Airport,30.49410057,-81.68789673
DL,ATL,GA,JAX,FL,1754,1749.0,-5.0,1906,1916.0,10.0,0.0,,87.0,270.0,0.0,0.0,0.0,0.0,0.0,Delta,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Jacksonville International Airport,30.49410057,-81.68789673
DL,ATL,GA,JAX,FL,1901,1857.0,-4.0,2012,2002.0,-10.0,0.0,,65.0,270.0,0.0,0.0,0.0,0.0,0.0,Delta,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Jacksonville International Airport,30.49410057,-81.68789673
DL,ATL,GA,JAX,FL,2225,2231.0,6.0,2335,2335.0,0.0,0.0,,64.0,270.0,0.0,0.0,0.0,0.0,0.0,Delta,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Jacksonville International Airport,30.49410057,-81.68789673
WN,MDW,IL,JAX,FL,1310,1317.0,7.0,1625,1622.0,-3.0,0.0,,125.0,849.0,0.0,0.0,0.0,0.0,0.0,Southwest,Chicago Midway International Airport,41.7859993,-87.75240326,Jacksonville International Airport,30.49410057,-81.68789673
WN,HOU,TX,JAX,FL,1830,1828.0,-2.0,2125,2125.0,0.0,0.0,,117.0,816.0,0.0,0.0,0.0,0.0,0.0,Southwest,William P Hobby Airport,29.64539909,-95.27890015,Jacksonville International Airport,30.49410057,-81.68789673
AA,CLT,NC,DCA,VA,15,8.0,-7.0,133,125.0,-8.0,0.0,,77.0,331.0,0.0,0.0,0.0,0.0,0.0,American,Charlotte Douglas International Airport,35.2140007,-80.94309998,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,CLT,NC,DCA,VA,1130,1132.0,2.0,1255,1243.0,-12.0,0.0,,71.0,331.0,0.0,0.0,0.0,0.0,0.0,American,Charlotte Douglas International Airport,35.2140007,-80.94309998,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,CLT,NC,DCA,VA,1640,1636.0,-4.0,1808,1744.0,-24.0,0.0,,68.0,331.0,0.0,0.0,0.0,0.0,0.0,American,Charlotte Douglas International Airport,35.2140007,-80.94309998,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,CLT,NC,DCA,VA,1751,1746.0,-5.0,1914,1905.0,-9.0,0.0,,79.0,331.0,0.0,0.0,0.0,0.0,0.0,American,Charlotte Douglas International Airport,35.2140007,-80.94309998,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,CLT,NC,DCA,VA,1959,2003.0,4.0,2121,2134.0,13.0,0.0,,91.0,331.0,0.0,0.0,0.0,0.0,0.0,American,Charlotte Douglas International Airport,35.2140007,-80.94309998,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,LAS,NV,DCA,VA,1035,1222.0,107.0,1800,1920.0,80.0,0.0,,238.0,2089.0,80.0,0.0,0.0,0.0,0.0,American,McCarran International Airport,36.08010101,-115.1520004,Ronald Reagan Washington National Airport,38.8521,-77.037697
AS,SEA,WA,DCA,VA,820,818.0,-2.0,1614,1603.0,-11.0,0.0,,285.0,2329.0,0.0,0.0,0.0,0.0,0.0,Alaska,Seattle Tacoma International Airport,47.44900131,-122.3089981,Ronald Reagan Washington National Airport,38.8521,-77.037697
AS,SEA,WA,DCA,VA,1410,1355.0,-15.0,2156,2133.0,-23.0,0.0,,278.0,2329.0,0.0,0.0,0.0,0.0,0.0,Alaska,Seattle Tacoma International Airport,47.44900131,-122.3089981,Ronald Reagan Washington National Airport,38.8521,-77.037697
F9,DEN,CO,DCA,VA,655,719.0,24.0,1220,1229.0,9.0,0.0,,190.0,1476.0,0.0,0.0,0.0,0.0,0.0,Frontier,Denver International Airport,39.86169815,-104.6729965,Ronald Reagan Washington National Airport,38.8521,-77.037697
UA,DEN,CO,DCA,VA,945,944.0,-1.0,1457,1442.0,-15.0,0.0,,178.0,1476.0,0.0,0.0,0.0,0.0,0.0,United,Denver International Airport,39.86169815,-104.6729965,Ronald Reagan Washington National Airport,38.8521,-77.037697
F9,DEN,CO,DCA,VA,1040,1039.0,-1.0,1600,1539.0,-21.0,0.0,,180.0,1476.0,0.0,0.0,0.0,0.0,0.0,Frontier,Denver International Airport,39.86169815,-104.6729965,Ronald Reagan Washington National Airport,38.8521,-77.037697
F9,DEN,CO,DCA,VA,1635,1657.0,22.0,2155,2157.0,2.0,0.0,,180.0,1476.0,0.0,0.0,0.0,0.0,0.0,Frontier,Denver International Airport,39.86169815,-104.6729965,Ronald Reagan Washington National Airport,38.8521,-77.037697
DL,SLC,UT,DCA,VA,935,933.0,-2.0,1548,1516.0,-32.0,0.0,,223.0,1851.0,0.0,0.0,0.0,0.0,0.0,Delta,Salt Lake City International Airport,40.78839874,-111.9779968,Ronald Reagan Washington National Airport,38.8521,-77.037697
AS,PDX,OR,DCA,VA,1005,959.0,-6.0,1754,1729.0,-25.0,0.0,,270.0,2350.0,0.0,0.0,0.0,0.0,0.0,Alaska,Portland International Airport,45.58869934,-122.5979996,Ronald Reagan Washington National Airport,38.8521,-77.037697
VX,SFO,CA,DCA,VA,805,813.0,8.0,1600,1549.0,-11.0,0.0,,276.0,2442.0,0.0,0.0,0.0,0.0,0.0,Virgin America,San Francisco International Airport,37.61899948,-122.375,Ronald Reagan Washington National Airport,38.8521,-77.037697
UA,SFO,CA,DCA,VA,1435,1432.0,-3.0,2236,2221.0,-15.0,0.0,,289.0,2442.0,0.0,0.0,0.0,0.0,0.0,United,San Francisco International Airport,37.61899948,-122.375,Ronald Reagan Washington National Airport,38.8521,-77.037697
DL,MSP,MN,DCA,VA,1330,1343.0,13.0,1658,1657.0,-1.0,0.0,,134.0,931.0,0.0,0.0,0.0,0.0,0.0,Delta,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.88199997,-93.22180176,Ronald Reagan Washington National Airport,38.8521,-77.037697
DL,MSP,MN,DCA,VA,1529,1529.0,0.0,1854,1834.0,-20.0,0.0,,125.0,931.0,0.0,0.0,0.0,0.0,0.0,Delta,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.88199997,-93.22180176,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,LAX,CA,DCA,VA,835,848.0,13.0,1639,1627.0,-12.0,0.0,,279.0,2311.0,0.0,0.0,0.0,0.0,0.0,American,Los Angeles International Airport,33.94250107,-118.4079971,Ronald Reagan Washington National Airport,38.8521,-77.037697
AS,LAX,CA,DCA,VA,1305,1301.0,-4.0,2054,2035.0,-19.0,0.0,,274.0,2311.0,0.0,0.0,0.0,0.0,0.0,Alaska,Los Angeles International Airport,33.94250107,-118.4079971,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,PHX,AZ,DCA,VA,55,104.0,9.0,700,706.0,6.0,0.0,,242.0,1979.0,0.0,0.0,0.0,0.0,0.0,American,Phoenix Sky Harbor International Airport,33.43429947,-112.012001,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,PHX,AZ,DCA,VA,948,951.0,3.0,1559,1611.0,12.0,0.0,,260.0,1979.0,0.0,0.0,0.0,0.0,0.0,American,Phoenix Sky Harbor International Airport,33.43429947,-112.012001,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,PHX,AZ,DCA,VA,1400,1410.0,10.0,2002,2010.0,8.0,0.0,,240.0,1979.0,0.0,0.0,0.0,0.0,0.0,American,Phoenix Sky Harbor International Airport,33.43429947,-112.012001,Ronald Reagan Washington National Airport,38.8521,-77.037697
WN,AUS,TX,DCA,VA,1200,1158.0,-2.0,1555,1554.0,-1.0,0.0,,176.0,1315.0,0.0,0.0,0.0,0.0,0.0,Southwest,Austin Bergstrom International Airport,30.19449997,-97.66989899,Ronald Reagan Washington National Airport,38.8521,-77.037697
B6,BOS,MA,DCA,VA,700,822.0,82.0,845,1007.0,82.0,0.0,,105.0,399.0,82.0,0.0,0.0,0.0,0.0,JetBlue,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,Ronald Reagan Washington National Airport,38.8521,-77.037697
B6,BOS,MA,DCA,VA,800,759.0,-1.0,942,941.0,-1.0,0.0,,102.0,399.0,0.0,0.0,0.0,0.0,0.0,JetBlue,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,Ronald Reagan Washington National Airport,38.8521,-77.037697
B6,BOS,MA,DCA,VA,1121,1113.0,-8.0,1300,1253.0,-7.0,0.0,,100.0,399.0,0.0,0.0,0.0,0.0,0.0,JetBlue,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,BOS,MA,DCA,VA,1500,1457.0,-3.0,1640,1631.0,-9.0,0.0,,94.0,399.0,0.0,0.0,0.0,0.0,0.0,American,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,Ronald Reagan Washington National Airport,38.8521,-77.037697
B6,BOS,MA,DCA,VA,1635,1635.0,0.0,1818,1807.0,-11.0,0.0,,92.0,399.0,0.0,0.0,0.0,0.0,0.0,JetBlue,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,Ronald Reagan Washington National Airport,38.8521,-77.037697
B6,BOS,MA,DCA,VA,1835,1840.0,5.0,2016,2003.0,-13.0,0.0,,83.0,399.0,0.0,0.0,0.0,0.0,0.0,JetBlue,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,ORD,IL,DCA,VA,710,707.0,-3.0,958,959.0,1.0,0.0,,112.0,612.0,0.0,0.0,0.0,0.0,0.0,American,Chicago O'Hare International Airport,41.97859955,-87.90480042,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,ORD,IL,DCA,VA,830,850.0,20.0,1119,1141.0,22.0,0.0,,111.0,612.0,20.0,0.0,2.0,0.0,0.0,American,Chicago O'Hare International Airport,41.97859955,-87.90480042,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,ORD,IL,DCA,VA,1155,1150.0,-5.0,1442,1421.0,-21.0,0.0,,91.0,612.0,0.0,0.0,0.0,0.0,0.0,American,Chicago O'Hare International Airport,41.97859955,-87.90480042,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,ORD,IL,DCA,VA,1525,1522.0,-3.0,1812,1759.0,-13.0,0.0,,97.0,612.0,0.0,0.0,0.0,0.0,0.0,American,Chicago O'Hare International Airport,41.97859955,-87.90480042,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,ORD,IL,DCA,VA,1710,1707.0,-3.0,2001,1945.0,-16.0,0.0,,98.0,612.0,0.0,0.0,0.0,0.0,0.0,American,Chicago O'Hare International Airport,41.97859955,-87.90480042,Ronald Reagan Washington National Airport,38.8521,-77.037697
UA,ORD,IL,DCA,VA,1800,2047.0,167.0,2053,2318.0,145.0,0.0,,91.0,612.0,14.0,0.0,0.0,0.0,131.0,United,Chicago O'Hare International Airport,41.97859955,-87.90480042,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,FLL,FL,DCA,VA,815,814.0,-1.0,1038,1048.0,10.0,0.0,,154.0,899.0,0.0,0.0,0.0,0.0,0.0,American,Fort Lauderdale Hollywood International Airport,26.07259941,-80.15270233,Ronald Reagan Washington National Airport,38.8521,-77.037697
B6,FLL,FL,DCA,VA,842,841.0,-1.0,1059,1103.0,4.0,0.0,,142.0,899.0,0.0,0.0,0.0,0.0,0.0,JetBlue,Fort Lauderdale Hollywood International Airport,26.07259941,-80.15270233,Ronald Reagan Washington National Airport,38.8521,-77.037697
B6,FLL,FL,DCA,VA,1018,1014.0,-4.0,1239,1304.0,25.0,0.0,,170.0,899.0,0.0,0.0,25.0,0.0,0.0,JetBlue,Fort Lauderdale Hollywood International Airport,26.07259941,-80.15270233,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,FLL,FL,DCA,VA,1205,1207.0,2.0,1428,1427.0,-1.0,0.0,,140.0,899.0,0.0,0.0,0.0,0.0,0.0,American,Fort Lauderdale Hollywood International Airport,26.07259941,-80.15270233,Ronald Reagan Washington National Airport,38.8521,-77.037697
B6,FLL,FL,DCA,VA,1225,1223.0,-2.0,1449,1439.0,-10.0,0.0,,136.0,899.0,0.0,0.0,0.0,0.0,0.0,JetBlue,Fort Lauderdale Hollywood International Airport,26.07259941,-80.15270233,Ronald Reagan Washington National Airport,38.8521,-77.037697
WN,FLL,FL,DCA,VA,1330,1358.0,28.0,1555,1617.0,22.0,0.0,,139.0,899.0,11.0,0.0,0.0,0.0,11.0,Southwest,Fort Lauderdale Hollywood International Airport,26.07259941,-80.15270233,Ronald Reagan Washington National Airport,38.8521,-77.037697
B6,FLL,FL,DCA,VA,1419,1547.0,88.0,1642,1805.0,83.0,0.0,,138.0,899.0,8.0,0.0,0.0,0.0,75.0,JetBlue,Fort Lauderdale Hollywood International Airport,26.07259941,-80.15270233,Ronald Reagan Washington National Airport,38.8521,-77.037697
B6,FLL,FL,DCA,VA,1835,1830.0,-5.0,2055,2048.0,-7.0,0.0,,138.0,899.0,0.0,0.0,0.0,0.0,0.0,JetBlue,Fort Lauderdale Hollywood International Airport,26.07259941,-80.15270233,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,DFW,TX,DCA,VA,700,658.0,-2.0,1046,1053.0,7.0,0.0,,175.0,1192.0,0.0,0.0,0.0,0.0,0.0,American,Dallas Fort Worth International Airport,32.89680099,-97.03800201,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,DFW,TX,DCA,VA,910,1006.0,56.0,1259,1350.0,51.0,0.0,,164.0,1192.0,51.0,0.0,0.0,0.0,0.0,American,Dallas Fort Worth International Airport,32.89680099,-97.03800201,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,DFW,TX,DCA,VA,1330,1333.0,3.0,1715,1715.0,0.0,0.0,,162.0,1192.0,0.0,0.0,0.0,0.0,0.0,American,Dallas Fort Worth International Airport,32.89680099,-97.03800201,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,DFW,TX,DCA,VA,1500,1456.0,-4.0,1846,1833.0,-13.0,0.0,,157.0,1192.0,0.0,0.0,0.0,0.0,0.0,American,Dallas Fort Worth International Airport,32.89680099,-97.03800201,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,DFW,TX,DCA,VA,1845,1852.0,7.0,2231,2235.0,4.0,0.0,,163.0,1192.0,0.0,0.0,0.0,0.0,0.0,American,Dallas Fort Worth International Airport,32.89680099,-97.03800201,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,JFK,NY,DCA,VA,1455,1453.0,-2.0,1626,1609.0,-17.0,0.0,,76.0,213.0,0.0,0.0,0.0,0.0,0.0,American,John F Kennedy International Airport,40.63980103,-73.77890015,Ronald Reagan Washington National Airport,38.8521,-77.037697
UA,IAH,TX,DCA,VA,1920,1918.0,-2.0,2311,2259.0,-12.0,0.0,,161.0,1208.0,0.0,0.0,0.0,0.0,0.0,United,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,Ronald Reagan Washington National Airport,38.8521,-77.037697
AA,TPA,FL,DCA,VA,710,705.0,-5.0,923,921.0,-2.0,0.0,,136.0,814.0,0.0,0.0,0.0,0.0,0.0,American,Tampa International Airport,27.97550011,-82.53320313,Ronald Reagan Washington National Airport,38.8521,-77.037697
